City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,aripuana,-9.1667,-60.6333,296.96,40,10,0.65,BR,1690155424
351,island harbour,50.724,-1.2758,290.33,90,23,0.89,GB,1690155424
352,leava,-14.3,-178.1667,299.8,74,37,7.21,WF,1690155424
353,long beach,33.767,-118.1892,304.17,78,75,4.63,US,1690155266
354,iskateley,67.6803,53.1512,287.63,97,100,2.75,RU,1690155425
355,cill airne,52.05,-9.5167,285.71,97,86,1.77,IE,1690155425
356,eforie sud,44.0229,28.6494,290.82,67,0,2.31,RO,1690155425
357,kamaishi,39.2667,141.8833,304.65,51,96,0.29,JP,1690155425
358,hilvan,37.5869,38.9551,302.64,28,0,4.63,TR,1690155425
359,hangha,7.9411,-11.14,295.41,99,98,0.68,SL,1690155425
360,la grande,45.3246,-118.0877,308.7,25,74,4.56,US,1690155142
361,codrington,-38.2667,141.9667,285.66,82,100,3.45,AU,1690155198
362,shubarshi,48.5872,57.1869,294.78,42,7,3.62,KZ,1690155425
363,nuuk,64.1835,-51.7216,284.49,82,18,4.63,GL,1690155143
364,flin flon,54.7682,-101.865,296.06,40,75,2.06,CA,1690155426
